Id,Name,Industry,AnnualRevenue,NumberOfEmployees,Type,BillingCountry,CreatedDate,LastActivityDate,Rating,Churn_Risk_Score,Churn_Risk_Level,Risk_Factors
00167783975255D498,Umbrella Ltd,Technology,50000000,250,Customer,Canada,2026-01-08T19:28:47.505333,2025-11-04T19:28:47.505325,Cold,0.875,High,"['High support case volume or escalations', 'Low engagement — no recent activity', 'No recent closed-won opportunities', 'Low customer satisfaction scores']"
0019478F258EA6946D,Stark Industries,Technology,500000000,100,Customer,Canada,2025-09-14T19:28:47.505360,2025-11-25T19:28:47.505352,Cold,0.869,High,"['High support case volume or escalations', 'Low engagement — no recent activity', 'No recent closed-won opportunities', 'Low customer satisfaction scores']"
0018FF3D1C03A6E48E,Acme Corp,Healthcare,500000,500,Customer,United States,2025-06-04T19:28:47.505269,2025-11-02T19:28:47.505227,Cold,0.85,High,"['Low engagement — no recent activity', 'No recent closed-won opportunities', 'Low customer satisfaction scores']"
00105AAEC28F05747F,Initech Solutions,Technology,500000,250,Customer,United States,2025-10-26T19:28:47.505319,2025-12-10T19:28:47.505309,Cold,0.717,High,"['Low engagement — no recent activity', 'No recent closed-won opportunities', 'Low customer satisfaction scores']"
001B227922A801E475,Wayne Enterprises,Real Estate,10000000,250,Customer,France,2025-12-08T19:28:47.505348,2025-10-29T19:28:47.505339,Cold,0.68,Medium,"['Low engagement — no recent activity', 'No recent closed-won opportunities']"
00151A7D0D6E639408,Globex Industries,Healthcare,100000000,50,Customer,Australia,2025-09-14T19:28:47.505301,2025-12-04T19:28:47.505284,Cold,0.619,Medium,"['Low engagement — no recent activity', 'No recent closed-won opportunities', 'Low customer satisfaction scores']"
00148DDB5C65FD640B,Soylent Corp,Real Estate,500000,5000,Customer,United Kingdom,2025-11-19T19:28:47.505399,2026-01-09T19:28:47.505391,Warm,0.439,Medium,['No recent closed-won opportunities']
001CC4187B9C69E4F7,Cyberdyne Systems,Healthcare,5000000,1000,Customer,Australia,2025-06-25T19:28:47.505385,2026-01-06T19:28:47.505378,Warm,0.427,Medium,['No recent closed-won opportunities']
001CB6FD94955E8451,Synapse Digital,Retail,50000000,100,Partner,Australia,2025-04-05T19:28:47.505563,2026-01-26T19:28:47.505556,Hot,0.407,Medium,['No recent closed-won opportunities']
001B883E490A16E4F4,Oscorp Technologies,Retail,1000000,250,Customer,Germany,2025-04-03T19:28:47.505372,2025-11-21T19:28:47.505365,Cold,0.39,Low,['Low engagement — no recent activity']
001C3B322F35A6547A,CloudFirst Ltd,Manufacturing,1000000,10000,Prospect,United Kingdom,2025-03-06T19:28:47.505513,2026-01-27T19:28:47.505503,Warm,0.389,Low,['No recent closed-won opportunities']
001AF81D86CCF3C410,Quantum Analytics,Media,50000000,500,Partner,Australia,2025-02-15T19:28:47.505540,2026-01-28T19:28:47.505533,Warm,0.386,Low,['No recent closed-won opportunities']
0014C456ACE9105457,Pinnacle Systems,Education,500000000,100,Customer,Australia,2025-11-08T19:28:47.505575,2026-01-31T19:28:47.505568,Hot,0.378,Low,['No recent closed-won opportunities']
0010E6AFCD3358A436,NexGen Solutions,Finance,500000000,5000,Partner,Australia,2025-03-14T19:28:47.505528,2026-02-06T19:28:47.505521,Hot,0.376,Low,['No recent closed-won opportunities']
0017FF52292A1234FB,Horizon Tech,Technology,500000,1000,Prospect,Germany,2025-06-12T19:28:47.505586,2026-02-09T19:28:47.505580,Warm,0.368,Low,['No recent closed-won opportunities']
00126050B2CEDDB4E0,DataStream Inc,Real Estate,50000000,500,Partner,Canada,2025-12-06T19:28:47.505498,2026-02-05T19:28:47.505491,Hot,0.364,Low,['No recent closed-won opportunities']
001878EE8912E8944D,ByteForge,Education,500000,500,Partner,France,2025-05-01T19:28:47.505551,2026-02-06T19:28:47.505545,Warm,0.361,Low,['No recent closed-won opportunities']
001C736C17C7F3E4B6,Raviga Capital,Retail,100000000,250,Prospect,Canada,2025-07-26T19:28:47.505461,2026-02-04T19:28:47.505454,Warm,0.322,Low,['No recent closed-won opportunities']
0017E5A86357D3C47A,Hooli,Healthcare,500000000,250,Customer,United Kingdom,2025-08-23T19:28:47.505423,2025-12-28T19:28:47.505416,Warm,0.302,Low,['No significant risk factors identified']
00174D3860E707F48D,Massive Dynamic,Consulting,1000000,50,Customer,United Kingdom,2026-01-14T19:28:47.505411,2025-12-24T19:28:47.505404,Warm,0.298,Low,['No significant risk factors identified']
001B6D4BB417FD3441,Pied Piper,Education,1000000,1000,Customer,Germany,2025-05-28T19:28:47.505436,2025-12-25T19:28:47.505428,Warm,0.296,Low,['No significant risk factors identified']
00163885A80AF4C4B5,Aviato,Consulting,100000000,100,Customer,Australia,2025-06-15T19:28:47.505448,2025-12-25T19:28:47.505441,Cold,0.281,Low,['No significant risk factors identified']
00148E70BB3E9694A2,Endframe,Education,10000000,500,Customer,United Kingdom,2025-05-29T19:28:47.505474,2026-02-08T19:28:47.505467,Hot,0.186,Low,['No significant risk factors identified']
0011FB2EB2DD3EE47A,BlueShift AI,Healthcare,500000,10000,Partner,United Kingdom,2025-11-09T19:28:47.505598,2026-02-08T19:28:47.505591,Hot,0.156,Low,['No significant risk factors identified']
001985B7D2B7880480,TechNova,Media,10000000,10000,Customer,United States,2025-06-25T19:28:47.505486,2026-01-22T19:28:47.505479,Warm,0.133,Low,['No significant risk factors identified']
